Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1-26-24,Friday,14.96,snacks,Food,Debit,Need
1-27-24,Saturday,,,,,Savings
1-28-24,Sunday,9.78,Snack,Food,Debit,Want
1-29-24,Monday,41.18,Target,Entertainment and Recreation,Debit,Need
1-30-24,Tuesday,5.65,Starbucks,Food,Debit,Want
1-31-24,Wednesday,1.50,Water,Food,Cash,Need
2-1-24,Thursday,5.23,Snacks,Food,Debit,Need
2-2-24,Friday,61.01,Gas,Travel,Debit,Need
2-3-24,Saturday,29.01,In n out,Food,Debit,Need
2-4-24,Sunday,11.80,Marshalls ,Entertainment and Recreation,Debit,Want